text,title
" Char both sides of the tortillas on a hot griddle or over the open flame. Keep warmed in the oven if eating right away. This will help the tortillas become more pliable and also improves the taste, in my opinion. Heat a large non-stick skillet over medium heat. Add the bacon and cook until cooked through, about 4 to 5 minutes. Transfer with a slotted spoon to drain on a paper towel lined plate. In a large bowl whisk the eggs with salt. Mix in scallions and bell pepper. Discard the bacon grease leaving 1 teaspoon then add the eggs, let them set on the bottom then stir a few times to cook through, set aside. On a clean work surface, divide a generous 1/2 cup of the egg mixture onto the bottom third of the tortilla. Top each a slice of bacon and 2 tablespoons cheese. Roll from the bottom, folding the left and right corners in toward the center and continue and roll into a tight cylinder. Set aside, seam-side down, and repeat with remaining tortillas and filling. If eating right away, heat a skillet over medium heat. When hot, spray the skillet with oil and add the burritos, seam side down. Cook, covered, until the bottom of the burritos are golden brown, about 2 minutes on each side. Serve with hot sauce or salsa, if desired. Place the foil on a work surface vertically, place the rolled burrito in the center bottom third, roll partially, folding the sides of the foil over the burrito, then roll it up. Transfer to a freezer bag to prevent freezer burn (you can reuse the bags). Use a sharpie to label it with the name and date. (also helpful to write down cook time and temp).To reheat, thawed overnight in the refrigerator: (Best results) Transfer burrito to the refrigerator the night before. Bake in foil, in a preheated oven 425F 20 minutes, turning halfway. Unwrap foil and bake uncovered 5 minutes. Optional, you can also broil 2 to 3 minutes at the end to toast.To reheat direct from freezer to oven: (Best results) Bake in a preheated oven 425F 45 minutes turning halfway. Unwrap foil and bake uncovered 5 minutes. Optional, you can also broil 2 to 3 minutes at the end to toast. Let stand 2 minutes before eating. To reheat direct from freezer to microwave (Least favorite results): Remove the burrito from the foil and place on a microwave safe dish, cover with a paper towel microwave 1 minute. Turn then cook an additional 1 to 1 1/2 minutes. Let stand 2 minutes before eating. (optional, brown on a skillet 2 minutes on each side to toast, or broil 2 to 3 minutes.To reheat in air fryer, thawed overnight in the refrigerator: (crisp results)Transfer burrito to the refrigerator the night before. Unwrap and discard foil, spritz with a little oil and air fry in a preheated air fryer 400F 8 to 9 minutes, turning halfway until heated through in the center.",Freezer Breakfast Burritos
" Place the eggs in a medium pan, and cover with about an inch of cold water.Turn heat on to medium and bring the water to a boil. When the water boils, shut the flame off and cover for 20 minutes, the steam will cook them. Run under cold water to let the eggs cool, then peel.",How To Make Perfect Hard Boiled Eggs Every Time
" In a large heavy skillet melt the butter over medium heat. Add the rice and saute about 2-3 minutes. Add the chicken broth and peas and bring to a boil. When just about all the liquid is absorbed just skimming the top of the rice, cover and reduce heat to low. Cook, covered on low heat 20 minutes, until rice is cooked through. Shut off and let stand covered 5 minutes. Meanwhile, in second large skillet, heat 2 teaspoons of the olive oil over medium heat until hot. Season shrimp with salt and pepper and add to hot skillet. Cook about 2-3 minutes, until the shrimp is opaque and cooked through. Remove shrimp from pan and set aside.Add the 2 remaining teaspoons of olive oil to the skillet on high heat and add the cooked rice, shrimp, grated cheese and parsley and saute another minute or two to slightly crisp, mixing well.","Shrimp, Peas and Rice"
" Preheat the oven to 325F. Place the ham on a rack in a roasting pan with 1 cup water and bake on the lower rack for 1 hour. While ham bakes make the glaze by combining the preserves and rum in a small saucepan, cook medium heat and whisk until it gets bubbly, about 5 to 8 minutes.After an hour, remove the ham from the oven and brush with the glaze. Return the ham to the oven and cook about another 50 to 60 minutes.",Apricot-Rum Glazed Spiral Ham
" Place green beans in a large pot and cover with water, about 6 cups. Bring to a boil, then cover and cook until tender crisp, about 6 minutes (dont overcook or they will get mushy). Drain and rinse under cold water when done to prevent them from overcooking, drain. In a large bowl, combine balsamic, oil, salt and pepper. Toss in the green beans, scallions and olives.Mix well and top with sliced eggs. Refrigerate and serve chilled or room temperature.",Green Bean Salad
" Melt butter over low heat in a large pot. Add onion and saute until soft, about 2-minutes. Cut the asparagus in half and add to the pot along with chicken broth and black pepper, to taste. Bring to a boil, cover and cook low about 20 minutes or until asparagus is very tender.Remove from heat, add sour cream and using your hand held blender, puree until smooth (or in two batches in a large blender).",Cream of Asparagus Soup
" In a blender combine, starting with the liquid first add the milk, yogurt, eggs, vanilla, flour, baking powder and salt and mix until well combined and smooth, about 30 to 60 seconds. Heat a waffle iron over medium heat (I used number 3 on mine) and let it heat up. When hot spray with cooking spray and pour 1/2 cup of batter in the center, close and cook until golden brown and slightly crisp on the edges, about 3 to 4 minutes.Repeat with the remaining batter or refrigerate the remaining.",Yogurt Waffles
" Wash and drain the peas in a colander. In a small skillet, saute onions and garlic in oil over medium heat until soft, about 3 minutes. Transfer to the slow cooker and add peas, carrots, ham hock and chicken broth, cover and cook on LOW 10 hours, until the peas are tender. Remove ham hock and season with black pepper.Discard the skin of the ham hock and shred the pork off the bone, add back to the soup.",Slow Cooker Split Pea Soup with Ham Hock
" Rub the tuna steaks with 1 teaspoon of oil, and sprinkle with salt and pepper. Place the sesame seeds on a medium plate. Dip entire surface of the steak into sesame seeds, pressing to adhere. Heat a skillet on high heat. When very hot, place the tuna steaks on the hot skillet and cook for 1 to 2 minutes on each side, depending on the thickness. Set aside on a plate. Meanwhile, prepare salad and soy vinaigrette. Slice tuna steaks into 16 slices and place on top of arugula.Drizzle vinaigrette over the top.",Sesame Crusted Tuna Steak on Arugula
" Heat a large heavy pot or Dutch oven over medium flame. When hot, spray with oil. Add onions and garlic, saute until soft, about 4 to 5 minutes. Add the meat and cook, breaking it up until white and cooked through, about 5 minutes. Add diced green chilies, salt, cumin, oregano, chili powder, red pepper flakes and cook for 2 minutes. Pure 1 can of beans in the blender with 1 cup of the broth. Add to the pot with the remaining beans, broth and bay leaf and bring to a boil. Cover and reduce to a simmer, about 30 to 35 minutes mixing occasionally, until thickened and the flavors meld. Stir in sour cream and cook 4 to 5 minutes. Adjust seasoning and salt to taste. To serve, topped with your favorite toppings. Slow Cooker directions: To make in the slow cooker, follow steps 1 to 5, reducing the broth to 1 1/2 cups and transfer to the slow cooker for 8 hours on low.Instant Pot directions: To make in the Instant Pot, you will need an 8 quart IP or halve the recipe. Reduce the broth to 1 1/2 cups, cook high pressure 25 minutes.",White Bean Turkey Chili
" Bring a medium pot of salted water to a boil, add the pasta and broccoli and cook according to package directions for al dente. Reserve about 1/2 cup liquid before draining. Drain orzo and broccoli in a colander and add the oil to the pot over medium heat. Add the garlic and cook until golden, 30 seconds. Return the drained orzo and stir to combine all. Add 1/4 cup of the reserved liquid, or more as needed and cook 1 minute, stirring. Meanwhile, in a large skillet melt butter and oil over medium heat. When the butter is melted, add garlic and saute 30 seconds. Add shrimp and season with 1/8 teaspoon salt and pepper. Cook 2 minutes, flip, then add another 1/8 teaspoon salt and pepper. Cook an additional 2 to 3 minutes or until shrimp are opaque and cooked through. Remove from heat and add red pepper (if using), lemon juice, and parsley. Toss to evenly coat.To serve, divide the shrimp and sauce over 3/4 cup orzo.",Shrimp Scampi with Broccoli Orzo
"
OVEN DIRECTIONS:
 Preheat oven to 425F. Spray a sheet pan with oil. Place broccoli in the microwave with 1 tablespoon water, cover and cook 1 minute until soft. Drain and season with 1/4 teaspoon salt. In a small bowl, combine egg, water and a little salt and beat with a fork; set aside. Fill a second bowl with breadcrumbs. If the chicken isnt 1/4-inch thin, pound it thin with wax paper and a mallet. Season both sides of the chicken with 1/2 teaspoon salt. Place a 1/2 slice cheese in the center of the chicken and top with 2 tablespoons broccoli. Roll the chicken around to completely cover cheese, using toothpicks to secure the ends, if needed. Dip chicken into egg wash, then breadcrumbs and transfer to a sheet pan. Spray both sides of the chicken with oil and bake about 25 minutes, until cooked. Remove toothpicks and eat.
AIR FRYER RECIPE:
 Preheat air fryer to 400F. Spray a sheet pan with oil. Place broccoli in the microwave with 1 tablespoon water, cover and cook 1 minute until soft. Drain and season with 1/4 teaspoon salt. In a small bowl, combine egg, water and a little salt and beat with a fork; set aside. Fill a second bowl with breadcrumbs. If the chicken isnt thin enough to easily roll, pound it thin with wax paper and a mallet. Season both sides of the chicken with 1/2 teaspoon salt. Place a 1/2 slice cheese in the center of the chicken and top with 2 tablespoons broccoli. Roll the chicken around to completely cover cheese, using toothpicks to secure the ends, if needed.Dip chicken into egg wash, then breadcrumbs and transfer to a work surface. Spray both sides of the chicken with oil and transfer to the air fryer basket, in batches. Cook about 14 to 16 minutes, turning halfway until the chicken is cooked through in the center. Remove toothpicks before eating.",Chicken Roll Ups with Broccoli and Cheese
"STOVE TOP DIRECTIONS In a large Dutch oven or heavy pot, melt butter over medium heat. Add the onion, carrots, celery, garlic and 12 teaspoon salt and saute until vegetables start to soften, about 5 minutes. Sprinkle flour evenly over vegetables and cook, stirring often, for 1 minute. Add wine and deglaze the pot (scraping brown bits off the bottom). Add the thyme, broth, cauliflower and potatoes, bring the pot to a boil, then reduce heat to simmer, cover and cook for 20 minutes. Remove the lid from pot and transfer the cauliflower and 1 cup of the soup to a blender and blend until smooth. Transfer puree back to the pot. Add the milk, corn, and smoked salmon and heat through for about 5 minutes. Season with remaining salt and freshly ground pepper, to taste.Ladle 2 cups of soup into each bowl and top with chivesINSTANT POT DIRECTIONS Press saute on the Instant Pot. When hot, add the butter. Once melted, add the onion, carrots, celery, garlic and 12 teaspoon salt and saute until vegetables start to soften, about 5 minutes. Sprinkle flour evenly over vegetables and cook, stirring often, for 1 minute. Press cancel. Add the wine and deglaze the pot (scraping brown bits off the bottom). Add the thyme, broth, cauliflower and potatoes, seal and switch pot to Manual. Cook on high pressure for 10 minutes. Quick release, then open when the pressure subsides. Transfer the cauliflower and 1 cup of the soup to a blender and blend until smooth. Transfer puree back to the pot. Add the milk, corn, and smoked salmon and heat through for about 5 minutes. Season with remaining salt and freshly ground pepper, to taste.Ladle 2 cups of soup into each bowl and top with chives.",Seattle Smoked Salmon Chowder
" Using the saute function (on low, if possible), heat the oil in the pressure cooker pot. Stir in the garlic and cook until just turning golden, about 2 minutes. Stir in the marinara sauce, 2 tablespoons of the Parmesan, and 1/4 teaspoon pepper. Increase the saute heat to medium. Season the chicken with the salt, oregano, and pepper to taste. Nestle the cutlets into the sauce, overlapping as little as possible, then spoon the sauce over to cover the chicken. Lock the lid into place and cook on low pressure for 3 minutes. Manually release the pressure. Sprinkle the mozzarella and the remaining 1 tablespoon Parmesan evenly over the chicken. Cover the pot with the lid (but dont lock it on) and let it sit for 4 to 5 minutes to melt the cheese.Serve as is or, for deeper flavors and a little bit of crispiness, broil the cheese until golden and bubbling: Heat the broiler with a rack 4 inches from the heat source. Scoop the chicken and sauce into a greased small rimmed baking sheet, trying to keep the cheese on top. Broil until the cheese has browned, 2 to 3 minutes. Sprinkle with basil, if desired.",Instant Pot Chicken Parmesan
" Heat a large pot over medium heat. Add the oil, 1 cup of scallions and garlic. Saute about 2 to 3 minutes until soft then add the tomatoes and saute another minute, until soft. Add chicken stock, cumin and chile powder and bring to a boil. Simmer, covered on low for about 15 minutes.In four bowls, fill each with 1/2 cup chicken, 1/2 avocado, remainder of the scallions, and cilantro. Ladle 1 cup chicken broth over the chicken and serve with a lime wedge.",Chicken and Avocado Soup
" Place the corned beef brisket, carrots, pearl onions, parsley, bay leaves and peppercorns in the Instant pot and add 3 cups of water. Cover and cook on high pressure 1 1/2 hours. Natural release then open. Add the cabbage to the top, cover and cook on high pressure 3 minutes, quick release.Remove meat and slice into 6 pieces.",Instant Pot Corned Beef and Cabbage
" Combine the steel cut oats and water in the bowl of your pressure cooker and stir. Add the cinnamon sticks, cover and cook 6 minutes on high pressure. Allow the pressure to naturally release. Remove the cinnamon sticks and discard and stir in blueberries. To serve, pour 1 cup of oats in each bowl, and top each with 2 tablespoons milk, 1/2 sliced banana, drizzle with 1 teaspoon honey or maple syrup and finish with a pinch of cinnamon.Leftovers can be refrigerated in glass or plastic containers. To reheat, microwave for 2 to 3 minutes, until warm then add toppings.",Instant Pot Steel Cut Oats
" Brown the turkey in a large skillet breaking it into smaller pieces as it cooks. When no longer pink add dry seasoning and mix well. Add the onion, pepper, water and tomato sauce and cover. Simmer on low for about 20 minutes. Divide the meat equally between the 4 meal prep containers. Meanwhile, while the meat is cooking, make the dressing: combine the salsa, olive oil and lime juice; transfer to 4 small containers. Divide the lettuce in 4 ziplock bags. Divide pico de gallo, sour cream or yogurt, if using and cheese in small containers. Cover and refrigerate. To serve, remove the lettuce and containers, heat the meat then make a salad by placing the lettuce in a bowl or plate.Top with the meat, pico de gallo, cheese and finish with dressing.",Meal Prep Taco Salad
" Season the chicken with 1 teaspoon salt, ginger, garlic, 1/2 teaspoon garam masala, chili powder, 1/4 teaspoon turmeric and lemon juice. In a large skillet over high heat, add 1 teaspoon ghee. Add half of the chicken and cook until browned, and cooked through, about 5 minutes stirring halfway. Set aside and repeat with the remaining ghee and chicken. Set aside. Add 2 teaspoons ghee to the skillet, reduce heat to medium-high and add the onion, cook until they become golden about 3 to 4 minutes. Add the green chili, cauliflower rice, remaining 1 teaspoon of salt, 1/2 teaspoon garam masala and 1/2 teaspoon turmeric. Cook, stirring until tender, about 6 minutes. Stir in chicken and garnish with cilantro.Serve with lemon wedges.",Cauliflower Rice Chicken Biryani
"Stove top directions Place bacon in a large Dutch oven or heavy pot and saute over medium heat, until cooked and crispy. Remove bacon with a slotted spoon and place on a paper towel lined plate. Set aside. With the pot still over medium heat, add the onions and garlic and saute until the onions are soft and translucent, about 5 minutes. Sprinkle the flour over the onions, add turmeric, thyme, salt and pepper, to taste, and cook for an additional minute, stirring constantly. Add the broth, potatoes and cauliflower and stir with a wooden spoon, scraping the bottom of the pot (this releases the caramelized bits on the bottom). Bring the pot to a boil then decrease to simmer, cover and cook 20 minutes. Meanwhile, heat 4 ounces (about 2/3 cup) of the corn with a splash of water in a small microwave safe-dish until just defrosted, about 1 minute. Remove the lid from pot and transfer the cauliflower, 1 cup of the soup and warmed corn to a blender and blend until smooth. Transfer puree back to the pot. Add the remainder of the frozen corn, the milk and cheese. Mix then simmer for 3 minutes or until the cheese is melted and soup is heated through. Taste and adjust salt, if necessary. Serve topped with reserved bacon pieces.Instant Pot directions Press the saute button on an electric pressure cooker. Add the bacon and saute until cooked and crispy. Remove bacon with a slotted spoon and place on a paper towel lined plate. Set aside. In the pressure cooker (still on saute), add the onions and garlic and saute until the onions are soft and translucent, about 5 minutes. Sprinkle the flour over the onions, add turmeric, thyme, salt and pepper, to taste, and cook for an additional minute, stirring constantly. Add the broth, potatoes and cauliflower and stir with a wooden spoon, scraping the bottom of the pot (this releases the caramelized bits on the bottom). Seal and cook on high pressure for 10 minutes. Quick release, then open when the pressure subsides. Meanwhile, heat the corn with 2 tablespoons of water in microwave safe-dish until just heated through, about 3 minutes. Transfer the cauliflower, 1 cup of the soup and 2/3 cup warmed corn to a blender and blend until smooth. Transfer puree back to the pot and stir well.Add the remainder of corn, milk and cheese. Mix then cover for 3 minutes or until the cheese is melted and soup is heated through. Taste and adjust salt, if necessary. Serve topped with reserved bacon pieces.",Cheddar Corn Chowder with Bacon
" Heat olive oil in a medium nonstick skillet over medium heat. Add the scallions and cook until they soften, about 3 to 4 minutes. Add the tomato and season with adobo or salt, cook until the liquid from the tomato evaporates, about 3 to 4 minutes.Add the beaten eggs to pan with more adobo or salt to taste and cook over medium heat, stirring a few times until just cooked.",Huevos Pericos (Colombian Scrambled Eggs)
" Slice 1 of the lemons thin, the second into wedges. Place the lemon slices on a large sheet pan arranged in the center just under the fish. Top with parsley sprigs and drizzle with 1 teaspoon of olive oil. Drizzle the remaining 1 teaspoon of olive oil over the flesh side of the fish and rub all over, season with salt and pepper. Transfer to the pan over the lemon slices, skin side down. Preheat the oven to 450F. Roast 15 to 20 minutes, depending on the thickness of the fish, until the thickest part of the fish is cooked though in the center.Top with fresh herbs and serve with lemon wedges.",Roasted Salmon with Fresh Herbs
"
INSTANT POT:
 Season the chicken with salt. Press saute and add the oil. Add the onion, celery, carrot and garlic and saute until soft, 4 to 5 minutes. Add the chicken, broth, bay leaves and 1/8 teaspoon black pepper. Cover and cook high pressure 15 minutes, let the pressure release naturally. Discard the bay leaves, coarsely shred the chicken with two forks and return to the soup, add the noodles and cook 2 minutes high pressure. Quick or natural release. Garnish with parsley and serve.
STOVE:
 Season the chicken with salt. Heat a large pot or Dutch oven over medium high heat. Add the oil, onion, celery, carrot and garlic and saute until soft, 5 minutes. Add the chicken, chicken broth, 1/4 cup water, bay leaves and 1/8 teaspoon black pepper. Bring to a boil over high heat, then cover and reduce to a simmer, cook until the chicken shreds easily with a fork, about 35 minutes. Discard the bay leaves, coarsely shred the chicken with two forks and return to the soup, add the noodles and cook according to the package directions.Garnish with parsley and serve.",Chicken Noodle Soup
" Preheat the air fryer. Wrap a piece of bacon around each piece of chicken and secure with a toothpick. Air fry, in batches in an even layer 400F for 8 minutes, turning halfway until the chicken is cooked and the bacon is browned.Blot on a paper towel and serve right away.",Air Fryer Bacon Wrapped Chicken Bites
" Rinse the leeks well and separate the layers to make sure there is no dirt. Slice into 1/4-inch thick half moons. Preheat the oven to 375 degrees. Mix together 1 1/4 teaspoons of salt, 1/4 teaspoon pepper and the paprika and season all sides of the chicken. Heat a large Dutch oven or oven safe skillet on high heat. Once hot spritz with olive oil and brown the chicken, in batches on all sides, about 5 minutes on each side, adjusting the heat as needed. Set aside and repeat with the remaining chicken. Set aside. Reduce the heat to medium-low and add the butter. When the butter starts to foam, add the leeks and cook, stirring until soft, about 6 to 8 minutes. Add the mushrooms, 1/4 teaspoon salt, stir and cook covered 5 minutes, stirring until they release their juices. Sprinkle the flour over them, stir in the chicken broth and the sherry and simmer for 2 to 3 minutes.Return the chicken to the Dutch oven, spooning the mushroom-sherry sauce over them and cook in the oven, covered, for 40 to 50 minutes, until cooked through and tender.",Braised Chicken Thighs with Mushrooms and Leeks
" Spray a 3-qt (9 x 13) oblong glass Pyrex baking dish with cooking spray. Place the potatoes in the baking dish. Top with chorizo, green chiles and 1 cup of the cheese. In medium bowl, beat eggs, scallions and seasoning salt with a whisk until well blended. Pour over potato mixture. Cover with lid and refrigerate overnight, if preparing the night before. When ready to bake, remove from the refrigerator and let it come to room temperature. Pre-heat the oven to 325F. Bake uncovered 55 to 60 minutes or until knife inserted near center comes out clean. Remove from the oven, top with the remaining 1 cup of cheese and jalapeno slices.Bake 2 more minutes, until the cheese melts. To serve, cut into 10 squares and serve with salsa and avocado.",Tex Mex Breakfast Casserole
" Heat a heavy medium skillet over high heat. Add the ground beef, season with salt and pepper. Saute until the meat browns, drain then add the onion and garlic, cook until translucent, about 5 minutes. Remove from the heat, and cool. In a medium bowl, combine the ricotta cheese, cooled ground beef, parsley, 1 cup mozzarella cheese, Parmesan cheese, egg, salt and black pepper. Transfer the a piping bag or gallon size ziplock bag, with a 1/2 inch hole snipped off the corner and stuff each uncooked manicotti shell with about generous 1/4 cup each.Spread 1 cup of the sauce mixture into a greased 13x9-in. baking dish. Arrange stuffed manicotti shells in a single layer over sauce. Top with remaining sauce. Cover tight with foil and bake at 375F until pasta is tender, 60 to 65 minutes, until the pasta is tender and cooked. Uncover; sprinkle with remaining cheese and bake covered 3 minutes longer or until cheese is melted.",Baked Beef and Cheese Manicotti (Cannelloni)
" Preheat the oven to 400F and lightly spray an 8 x 10-inch oval baking dish or 2-quart gratin dish with olive oil or nonstick cooking spray. Pat the scallops dry then spritz them with a little oil, season with 1/8 teaspoon salt. In a small bowl combine the panko, Parmesan, parsley, oregano, 1/8 teaspoon salt and black pepper, to taste. Arrange the scallops in a single layer in the prepared dish. Top with the crumb mixture. Whisk half of the lemon juice, melted butter, and white wine together and pour over the scallops. Bake for 15 minutes, or until the scallops are opaque. Set the oven to broil on high and broil second rack from the top until the topping is golden, about 2 to 3 minutes.Squeeze the remaining lemon over the scallops and eat right away.",Baked Scallops
"
For dressing:
 In a small bowl, combine vinaigrette ingredients. Whisk to combine and set aside.
For chicken:
 Preheat outdoor grill or grill pan over medium-high heat. Place chicken between a piece of plastic wrap or parchment and pound to an even thickness. Season with 14 teaspoon salt and pepper, to taste. Grill for 5-6 minutes, turn and grill for an additional 5-6 minutes more, or until chicken is cooked through. Allow chicken to rest for 5 minutes, then slice thin.
For salad:
 In a large bowl, combine salad ingredients from kale to scallions. Top each with dressing, toss to evenly combine.Divide salad evenly on 2 plates or bowls, top each with chicken and peanuts and serve.",Houston’s (Lightened-Up) Kale Salad with Peanut Vinaigrette
" Bring a large pot of salted water to a boil. Add butternut squash and cook until soft. Remove squash with a slotted spoon and place in a blender, blend until smooth. Add pasta to the boiling water and cook according to package directions for al dente, reserving at least 1 cup of the pasta water before draining. Meanwhile, in a large deep non-stick skillet, saute sausage over medium heat until browned, breaking up with a spoon as it cooks. When cooked through, set aside on a plate. Reduce heat to medium-low and melt the butter, saute the shallots and garlic until soft and golden, about 5 - 6 minutes. Add pureed butternut squash, season with with salt and fresh cracked pepper and add a little of the reserved pasta water (I used about 1 cup) to thin out the sauce to your liking. Add baby spinach and stir in parmesan cheese and sage. Toss in cooked pasta and sausage and mix until well coated.Serve with additional parmesan cheese on the side if desired.","Pasta with Butternut Sauce, Spicy Sausage and Baby Spinach"
" Peel, core, and slice the apples. Place them in the slow cooker. Add the cinnamon stick, lemon peel, lemon juice and brown sugar. Set crock pot to low and cook for 6 hours. Stir apples occasionally, apples will slowly become a delicious applesauce.Remove cinnamon stick and use an immersion blender to blend until smooth or if you prefer a chunky sauce, leave sauce intact.",Crock Pot Applesauce
" Heat oven to 350F degrees. Combine apples, raisins, cinnamon, honey and lemon juice in large bowl. Sprinkle with cornstarch. Toss until fruit is coated. Place fruit in an ungreased baking dish. Cover with foil and bake15 minutes. Remove from the oven. Mix the remaining topping ingredients. Sprinkle over fruit.Bake about 60 minutes or until topping is golden brown and fruit is tender.",Cinnamon Apple Crisp
" Wash leeks very carefully to remove all grit. I usually cut them horizontally and separate the rings to make sure no dirt remains. Coarsely chop them when washed. In a medium soup pot, melt butter and add flour on low flame. Using a wooden spoon, mix well. This will thicken your soup and give it a wonderful flavor. Add chicken stock, leeks, onion, potatoes and bring to a boil. Cover and simmer on low for about 20-25 minutes, until potatoes are soft. Using an immersion blender, blend the soup until smooth adding the milk and adjusting salt and pepper to taste.Serve immediately.",Potato Leek Soup
" Preheat oven to 325F. Line a cupcake tin with liners. Mash bananas in a bowl, set aside. In a medium bowl, combine flour, baking soda and salt with a wire whisk. Set aside. In a large bowl cream butter and 1/4 cup maple sugar with an electric mixer. Add egg whites, mashed bananas, maple syrup, apple sauce and vanilla; beat at medium speed until mixed well, scraping down sides of the bowl. Add flour mixture, then blend at a low speed until just combined. Pour the batter into the prepared muffin tin. Spread the pecans evenly over the muffins.Bake the muffins on the center rack for 30 to 35 minutes, or until a toothpick inserted in the center comes out clean.",Maple Pecan Banana Muffins
" Divide the tomatoes between 4 plates or bowls. Shred the chicken breast into large pieces and arrange over tomatoes with the avocado. Drizzle with olive oil, squeeze with lemon juice and season with salt and fresh pepper, to taste.Top with fresh basil.",Basil Chicken and Tomato Salad
" Preheat the oven to 400F. Spread 1/4 cup of the enchilada sauce on the bottom of a 13 x 9-inch baking dish. Cut the zucchini lengthwise, into 1/4-inch thick slices until you have a total of 12 slices about the same size. Its easiest to do this with a mandolin. Season both sides of the zucchini with 1/2 tsp salt and pepper, then grill on a grill pan over high heat to help dry out the zucchini, until pliable and grill marks form, but not fully cooked, about 2 minutes on each side. Heat the oil in a medium skillet over medium-high heat. Saute onions and garlic on low until soft, about 2 minutes. Add chicken, salt, cilantro, cumin, oregano, chili powder, 1/4 cup of the enchilada sauce, and cook 4 to 5 minutes. Remove from heat. Spread 3 tablespoons chicken on each slice zucchini. Roll up slices and arrange them each seam side down in the prepared dish. Top with the remaining enchilada sauce and Mexican cheese blend and tightly cover with foil. Bake 20 minutes, or until the cheese is hot and melted.Drizzle with sour cream, if desired and garnish with cilantro.",Low-Carb Zucchini Enchilada Roll Ups
" Cook pasta and broccoli together in a large pot of salted water, according to package directions for al dente (or slightly under cook 2 minutes). Spray a baking dish with cooking spray. Preheat oven to 375F. In a large, heavy skillet, melt butter. Add onion and cook over low heat about 2 minutes, add flour and cook another minute, or until the flour is golden and well combined. Add milk and chicken broth and whisk, raising heat to medium-high until it comes to a boil; cook about 5 minutes or until the sauce becomes smooth and thick. Season with salt and pepper. Once the sauce is thick, remove from heat, add cheese and mix well until cheese is melted. Adjust salt and pepper to taste, add cooked macaroni and broccoli and mix well. Pour into prepared baking dish. Top with grated cheese and breadcrumbs. Spray a little more cooking spray on top.Bake for 15-20 minutes, then broil for a few minutes to get the breadcrumbs golden.",Skinny Baked Broccoli Macaroni and Cheese
" In a large bowl combine the tomatoes, red onion, basil, olive oil, garlic and season liberally with salt and pepper. Let the tomato mixture sit room temperature for about 20 minutes to let the flavors blend (the juices from the tomatoes will release and create a kind of dressing). Toss well.When ready to serve, toss the tomato mixture and divide in 4 bowls. Eat with crusty bread if desired.",Tomato Salad
" Wash and dry chicken cutlets, season with salt and pepper. Preheat oven to 450F. Lightly spray a baking dish with non-stick spray. Combine cream cheese, cheddar, scallions, jalapeno and bacon crumbles in a medium bowl. Lay chicken cutlets on a working surface and spread 2 tbsp of cream cheese mixture on each cutlet. Loosely roll each one, secure the ends with toothpicks to prevent the cheese from oozing out. Place breadcrumbs in a bowl; in a second bowl combine olive oil, lime juice, salt and pepper. Dip chicken in lime-oil mixture, then in breadcrumbs and place seam side down on a baking dish. Repeat with the remaining chicken. When finished, lightly spray the top of the chicken with oil spray. Bake 22-25 minutes, serve immediately.Follow Steps 1 to 8, then air fry in batches 400F for 12 minutes, turning halfway.",Cheesy Jalapeño Popper Baked Stuffed Chicken
" In a medium bowl, combine tuna with onion, scallions, soy sauce, sesame oil and sriracha. Gently toss to combine and set aside while you prepare the bowls. Peel, seed and cube the mango and avocado. Peel, halve, seed and thinly slice the cucumber. Thinly slice the jalapeno and scallions. In 2 bowls, layer 1/2 the rice, 1/2 the tuna, mango, avocado, cucumber, jalapeno and scallions.Top with Macadamia nuts and sesame seeds and serve with lime wedges and extra sauce on the side, if desired.",Ahi Poke Bowl
" Place the lettuce in a large platter, top with tomatoes, crumbled bacon, blue cheese and serve with blue cheese dressing.Top with chopped chives.",Chopped Wedge Salad
" Cut the chicken thighs into 1-inch pieces. In a medium bowl, combine olive oil and lemon juice. Whisk until combined. Add the garlic, cumin, paprika, turmeric, curry powder, cinnamon, red pepper, salt and black pepper and whisk again. Pour the marinade over the chicken making sure it evenly coat (careful it will stain your fingers). Refrigerate and marinate for at least 30 minutes, up to overnight. Preheat an outdoor grill or indoor grill pan to medium-low heat. Thread the chicken pieces among 4 wooden or metal skewers, discarding the marinade in the bowl.
Grill the chicken, turning the skewers occasionally, until golden brown and cooked through in the center, about 15 to 18 minutes.To make the salad:
 For the salad: In a medium bowl, whisk together the oil and vinegar and season with salt and pepper. Add the cucumbers, cherry tomatoes, and red onion and toss to combine.Divide the lettuce between 4 bowls, top with tomato salad, feta and grilled chicken. Serve with Tzaziki for dipping.",Chicken Shawarma Kebab Salad
" In each of 4 (4-cup) containers or bowls, arrange 1/3 cup chickpeas, 1/2 cup cucumber, 1/4 green pepper, 1/3 cup tomato, olives and red onion, top with Feta cheese. In a small bowl whisk the lemon juice, olive oil, oregano, salt and pepper.Serve about 1 1/2 tablespoons dressing with each salad.",Greek Chickpea Salad
" In a large pot of salted boiling water, cook pasta according to instructions. While pasta is cooking, in a large saute pan, heat pan on medium-high flame, add oil when pan is hot. Add garlic and shallots to the pan and saute about 1 minute, until soft. Add zucchini and season with salt and pepper. Cook about 1 1/2 minutes, add tomatoes, crushed red pepper flakes, parsley, chicken broth and adjust salt and pepper. Stir and cook for 1 more minute. Remove from heat.Drain pasta when done reserving some of the water and and toss the pasta well with zucchini and tomatoes. Add pasta water if needed and serve with grated Parmesan (optional).",Angel Hair with Zucchini and Tomatoes
